SI,mei1,mei2,smi,meo1,meo2,smo,fc,el,image,image2
Sample-1028,100,340,4.812,150,103,1.79,0.2,0.688,Sample-1028_image.tif,Sample-1028_image.jpg
Sample-1029,100,340,4.812,150,103,6.62,0.1,0.646,Sample-1029_image.tif,Sample-1029_image.jpg
Sample-102,100,180,2.807,90,103,6.62,0.2,0.39,Sample-102_image.tif,Sample-102_image.jpg
Sample-1030,100,340,4.812,150,103,6.62,0.2,0.762,Sample-1030_image.tif,Sample-1030_image.jpg
Sample-1031,100,340,4.812,150,103,8,0.1,0.61,Sample-1031_image.tif,Sample-1031_image.jpg
Sample-1032,100,340,4.812,150,103,8,0.2,0.793,Sample-1032_image.tif,Sample-1032_image.jpg
Sample-1033,100,340,4.812,150,250,1.3,0.1,0.749,Sample-1033_image.tif,Sample-1033_image.jpg
Sample-1034,100,340,4.812,150,250,1.3,0.2,0.918,Sample-1034_image.tif,Sample-1034_image.jpg
Sample-1035,100,340,4.812,150,250,1.79,0.1,0.669,Sample-1035_image.tif,Sample-1035_image.jpg
Sample-1036,100,340,4.812,150,250,1.79,0.2,0.794,Sample-1036_image.tif,Sample-1036_image.jpg
Sample-1037,100,340,4.812,150,250,6.62,0.1,0.599,Sample-1037_image.tif,Sample-1037_image.jpg
Sample-1038,100,340,4.812,150,250,6.62,0.2,0.895,Sample-1038_image.tif,Sample-1038_image.jpg
Sample-1039,100,340,4.812,150,250,8,0.1,0.652,Sample-1039_image.tif,Sample-1039_image.jpg
Sample-103,100,180,2.807,90,103,8,0.1,0.275,Sample-103_image.tif,Sample-103_image.jpg
Sample-1040,100,340,4.812,150,250,8,0.2,0.974,Sample-1040_image.tif,Sample-1040_image.jpg
Sample-1041,100,340,4.812,150,300,1.3,0.1,0.711,Sample-1041_image.tif,Sample-1041_image.jpg
Sample-1042,100,340,4.812,150,300,1.3,0.2,0.834,Sample-1042_image.tif,Sample-1042_image.jpg
Sample-1043,100,340,4.812,150,300,1.79,0.1,0.723,Sample-1043_image.tif,Sample-1043_image.jpg
Sample-1044,100,340,4.812,150,300,1.79,0.2,0.857,Sample-1044_image.tif,Sample-1044_image.jpg
Sample-1045,100,340,4.812,150,300,6.62,0.1,0.596,Sample-1045_image.tif,Sample-1045_image.jpg
Sample-1046,100,340,4.812,150,300,6.62,0.2,0.938,Sample-1046_image.tif,Sample-1046_image.jpg
Sample-1047,100,340,4.812,150,300,8,0.1,0.692,Sample-1047_image.tif,Sample-1047_image.jpg
Sample-1048,100,340,4.812,150,300,8,0.2,0.787,Sample-1048_image.tif,Sample-1048_image.jpg
Sample-1049,100,340,4.812,150,70,1.3,0.1,0.593,Sample-1049_image.tif,Sample-1049_image.jpg
Sample-104,100,180,2.807,90,103,8,0.2,0.3,Sample-104_image.tif,Sample-104_image.jpg
Sample-1050,100,340,4.812,150,70,1.3,0.2,0.724,Sample-1050_image.tif,Sample-1050_image.jpg
Sample-1051,100,340,4.812,150,70,1.79,0.1,0.607,Sample-1051_image.tif,Sample-1051_image.jpg
Sample-1052,100,340,4.812,150,70,1.79,0.2,0.714,Sample-1052_image.tif,Sample-1052_image.jpg
Sample-1053,100,340,4.812,150,70,6.62,0.1,0.608,Sample-1053_image.tif,Sample-1053_image.jpg
Sample-1054,100,340,4.812,150,70,6.62,0.2,0.443,Sample-1054_image.tif,Sample-1054_image.jpg
Sample-1055,100,340,4.812,150,70,8,0.1,0.658,Sample-1055_image.tif,Sample-1055_image.jpg
Sample-1056,100,340,4.812,150,70,8,0.2,0.698,Sample-1056_image.tif,Sample-1056_image.jpg
Sample-1057,100,340,4.812,180,103,1.3,0.1,0.669,Sample-1057_image.tif,Sample-1057_image.jpg
Sample-1058,100,340,4.812,180,103,1.3,0.2,0.792,Sample-1058_image.tif,Sample-1058_image.jpg
Sample-1059,100,340,4.812,180,103,1.79,0.1,0.694,Sample-1059_image.tif,Sample-1059_image.jpg
Sample-105,100,180,2.807,90,250,1.3,0.1,0.301,Sample-105_image.tif,Sample-105_image.jpg
Sample-1060,100,340,4.812,180,103,1.79,0.2,0.696,Sample-1060_image.tif,Sample-1060_image.jpg
Sample-1061,100,340,4.812,180,103,6.62,0.1,0.62,Sample-1061_image.tif,Sample-1061_image.jpg
Sample-1062,100,340,4.812,180,103,6.62,0.2,0.606,Sample-1062_image.tif,Sample-1062_image.jpg
Sample-1063,100,340,4.812,180,103,8,0.1,0.667,Sample-1063_image.tif,Sample-1063_image.jpg
Sample-1064,100,340,4.812,180,103,8,0.2,0.782,Sample-1064_image.tif,Sample-1064_image.jpg
Sample-1065,100,340,4.812,180,250,1.3,0.1,0.684,Sample-1065_image.tif,Sample-1065_image.jpg
Sample-1066,100,340,4.812,180,250,1.3,0.2,0.803,Sample-1066_image.tif,Sample-1066_image.jpg
Sample-1067,100,340,4.812,180,250,1.79,0.1,0.7,Sample-1067_image.tif,Sample-1067_image.jpg
Sample-1068,100,340,4.812,180,250,1.79,0.2,0.852,Sample-1068_image.tif,Sample-1068_image.jpg
Sample-1069,100,340,4.812,180,250,6.62,0.1,0.636,Sample-1069_image.tif,Sample-1069_image.jpg
Sample-106,100,180,2.807,90,250,1.3,0.2,0.463,Sample-106_image.tif,Sample-106_image.jpg
Sample-1070,100,340,4.812,180,250,6.62,0.2,0.891,Sample-1070_image.tif,Sample-1070_image.jpg
Sample-1071,100,340,4.812,180,250,8,0.1,0.648,Sample-1071_image.tif,Sample-1071_image.jpg
Sample-1072,100,340,4.812,180,250,8,0.2,1.035,Sample-1072_image.tif,Sample-1072_image.jpg
Sample-1073,100,340,4.812,180,300,1.3,0.1,0.763,Sample-1073_image.tif,Sample-1073_image.jpg
Sample-1074,100,340,4.812,180,300,1.3,0.2,0.818,Sample-1074_image.tif,Sample-1074_image.jpg
Sample-1075,100,340,4.812,180,300,1.79,0.1,0.738,Sample-1075_image.tif,Sample-1075_image.jpg
Sample-1076,100,340,4.812,180,300,1.79,0.2,0.824,Sample-1076_image.tif,Sample-1076_image.jpg
Sample-1077,100,340,4.812,180,300,6.62,0.1,0.727,Sample-1077_image.tif,Sample-1077_image.jpg
Sample-1078,100,340,4.812,180,300,6.62,0.2,0.861,Sample-1078_image.tif,Sample-1078_image.jpg
Sample-1079,100,340,4.812,180,300,8,0.1,0.64,Sample-1079_image.tif,Sample-1079_image.jpg
Sample-107,100,180,2.807,90,250,1.79,0.1,0.272,Sample-107_image.tif,Sample-107_image.jpg
Sample-1080,100,340,4.812,180,300,8,0.2,3.076,Sample-1080_image.tif,Sample-1080_image.jpg
Sample-1081,100,340,4.812,180,70,1.3,0.1,0.693,Sample-1081_image.tif,Sample-1081_image.jpg
Sample-1082,100,340,4.812,180,70,1.3,0.2,0.728,Sample-1082_image.tif,Sample-1082_image.jpg
Sample-1083,100,340,4.812,180,70,1.79,0.1,0.598,Sample-1083_image.tif,Sample-1083_image.jpg
Sample-1084,100,340,4.812,180,70,1.79,0.2,0.718,Sample-1084_image.tif,Sample-1084_image.jpg
Sample-1085,100,340,4.812,180,70,6.62,0.1,0.643,Sample-1085_image.tif,Sample-1085_image.jpg
Sample-1086,100,340,4.812,180,70,6.62,0.2,0.831,Sample-1086_image.tif,Sample-1086_image.jpg
Sample-1087,100,340,4.812,180,70,8,0.1,0.646,Sample-1087_image.tif,Sample-1087_image.jpg
Sample-1088,100,340,4.812,180,70,8,0.2,0.693,Sample-1088_image.tif,Sample-1088_image.jpg
Sample-1089,100,340,4.812,70,103,1.3,0.1,0.496,Sample-1089_image.tif,Sample-1089_image.jpg
Sample-108,100,180,2.807,90,250,1.79,0.2,0.305,Sample-108_image.tif,Sample-108_image.jpg
Sample-1090,100,340,4.812,70,103,1.3,0.2,0.685,Sample-1090_image.tif,Sample-1090_image.jpg
Sample-1091,100,340,4.812,70,103,1.79,0.1,0.383,Sample-1091_image.tif,Sample-1091_image.jpg
Sample-1092,100,340,4.812,70,103,1.79,0.2,0.707,Sample-1092_image.tif,Sample-1092_image.jpg
Sample-1093,100,340,4.812,70,103,6.62,0.1,0.347,Sample-1093_image.tif,Sample-1093_image.jpg
Sample-1094,100,340,4.812,70,103,6.62,0.2,0.335,Sample-1094_image.tif,Sample-1094_image.jpg
Sample-1095,100,340,4.812,70,103,8,0.1,0.36,Sample-1095_image.tif,Sample-1095_image.jpg
Sample-1096,100,340,4.812,70,103,8,0.2,0.738,Sample-1096_image.tif,Sample-1096_image.jpg
Sample-1097,100,340,4.812,70,250,1.3,0.1,0.572,Sample-1097_image.tif,Sample-1097_image.jpg
Sample-1098,100,340,4.812,70,250,1.3,0.2,0.756,Sample-1098_image.tif,Sample-1098_image.jpg
Sample-1099,100,340,4.812,70,250,1.79,0.1,0.589,Sample-1099_image.tif,Sample-1099_image.jpg
Sample-109,100,180,2.807,90,250,6.62,0.1,0.273,Sample-109_image.tif,Sample-109_image.jpg
Sample-10,100,180,2.807,150,250,1.3,0.2,0.501,Sample-10_image.tif,Sample-10_image.jpg
Sample-1100,100,340,4.812,70,250,1.79,0.2,0.74,Sample-1100_image.tif,Sample-1100_image.jpg
Sample-1101,100,340,4.812,70,250,6.62,0.1,0.695,Sample-1101_image.tif,Sample-1101_image.jpg
Sample-1102,100,340,4.812,70,250,6.62,0.2,0.761,Sample-1102_image.tif,Sample-1102_image.jpg
Sample-1103,100,340,4.812,70,250,8,0.1,0.678,Sample-1103_image.tif,Sample-1103_image.jpg
Sample-1104,100,340,4.812,70,250,8,0.2,0.883,Sample-1104_image.tif,Sample-1104_image.jpg
Sample-1105,100,340,4.812,70,300,1.3,0.1,0.721,Sample-1105_image.tif,Sample-1105_image.jpg
Sample-1106,100,340,4.812,70,300,1.3,0.2,0.163,Sample-1106_image.tif,Sample-1106_image.jpg
Sample-1107,100,340,4.812,70,300,1.79,0.1,0.632,Sample-1107_image.tif,Sample-1107_image.jpg
Sample-1108,100,340,4.812,70,300,1.79,0.2,0.403,Sample-1108_image.tif,Sample-1108_image.jpg
Sample-1109,100,340,4.812,70,300,6.62,0.1,0.633,Sample-1109_image.tif,Sample-1109_image.jpg
Sample-110,100,180,2.807,90,250,6.62,0.2,0.3,Sample-110_image.tif,Sample-110_image.jpg
Sample-1110,100,340,4.812,70,300,6.62,0.2,-1.924,Sample-1110_image.tif,Sample-1110_image.jpg
Sample-1111,100,340,4.812,70,300,8,0.1,0.634,Sample-1111_image.tif,Sample-1111_image.jpg
Sample-1112,100,340,4.812,70,300,8,0.2,0.18,Sample-1112_image.tif,Sample-1112_image.jpg
Sample-1113,100,340,4.812,70,70,1.3,0.1,0.462,Sample-1113_image.tif,Sample-1113_image.jpg
Sample-1114,100,340,4.812,70,70,1.3,0.2,0.631,Sample-1114_image.tif,Sample-1114_image.jpg
Sample-1115,100,340,4.812,70,70,1.79,0.1,0.38,Sample-1115_image.tif,Sample-1115_image.jpg
Sample-1116,100,340,4.812,70,70,1.79,0.2,0.621,Sample-1116_image.tif,Sample-1116_image.jpg
Sample-1117,100,340,4.812,70,70,6.62,0.1,0.456,Sample-1117_image.tif,Sample-1117_image.jpg
Sample-1118,100,340,4.812,70,70,6.62,0.2,0.546,Sample-1118_image.tif,Sample-1118_image.jpg
Sample-1119,100,340,4.812,70,70,8,0.1,0.362,Sample-1119_image.tif,Sample-1119_image.jpg
Sample-111,100,180,2.807,90,250,8,0.1,0.065,Sample-111_image.tif,Sample-111_image.jpg
Sample-1120,100,340,4.812,70,70,8,0.2,0.609,Sample-1120_image.tif,Sample-1120_image.jpg
Sample-1121,100,340,4.812,90,103,1.3,0.1,0.554,Sample-1121_image.tif,Sample-1121_image.jpg
Sample-1122,100,340,4.812,90,103,1.3,0.2,0.699,Sample-1122_image.tif,Sample-1122_image.jpg
Sample-1123,100,340,4.812,90,103,1.79,0.1,0.524,Sample-1123_image.tif,Sample-1123_image.jpg
Sample-1124,100,340,4.812,90,103,1.79,0.2,0.703,Sample-1124_image.tif,Sample-1124_image.jpg
Sample-1125,100,340,4.812,90,103,6.62,0.1,0.607,Sample-1125_image.tif,Sample-1125_image.jpg
Sample-1126,100,340,4.812,90,103,6.62,0.2,0.702,Sample-1126_image.tif,Sample-1126_image.jpg
Sample-1127,100,340,4.812,90,103,8,0.1,0.534,Sample-1127_image.tif,Sample-1127_image.jpg
Sample-1128,100,340,4.812,90,103,8,0.2,0.715,Sample-1128_image.tif,Sample-1128_image.jpg
Sample-1129,100,340,4.812,90,250,1.3,0.1,0.59,Sample-1129_image.tif,Sample-1129_image.jpg
Sample-112,100,180,2.807,90,250,8,0.2,0.459,Sample-112_image.tif,Sample-112_image.jpg
Sample-1130,100,340,4.812,90,250,1.3,0.2,0.767,Sample-1130_image.tif,Sample-1130_image.jpg
Sample-1131,100,340,4.812,90,250,1.79,0.1,0.712,Sample-1131_image.tif,Sample-1131_image.jpg
Sample-1132,100,340,4.812,90,250,1.79,0.2,0.784,Sample-1132_image.tif,Sample-1132_image.jpg
Sample-1133,100,340,4.812,90,250,6.62,0.1,0.675,Sample-1133_image.tif,Sample-1133_image.jpg
Sample-1134,100,340,4.812,90,250,6.62,0.2,0.782,Sample-1134_image.tif,Sample-1134_image.jpg
Sample-1135,100,340,4.812,90,250,8,0.1,0.723,Sample-1135_image.tif,Sample-1135_image.jpg
Sample-1136,100,340,4.812,90,250,8,0.2,0.751,Sample-1136_image.tif,Sample-1136_image.jpg
Sample-1137,100,340,4.812,90,300,1.3,0.1,0.639,Sample-1137_image.tif,Sample-1137_image.jpg
Sample-1138,100,340,4.812,90,300,1.3,0.2,0.775,Sample-1138_image.tif,Sample-1138_image.jpg
Sample-1139,100,340,4.812,90,300,1.79,0.1,0.626,Sample-1139_image.tif,Sample-1139_image.jpg
Sample-113,100,180,2.807,90,300,1.3,0.1,0.194,Sample-113_image.tif,Sample-113_image.jpg
Sample-1140,100,340,4.812,90,300,1.79,0.2,0.588,Sample-1140_image.tif,Sample-1140_image.jpg
Sample-1141,100,340,4.812,90,300,6.62,0.1,0.611,Sample-1141_image.tif,Sample-1141_image.jpg
Sample-1142,100,340,4.812,90,300,6.62,0.2,0.762,Sample-1142_image.tif,Sample-1142_image.jpg
Sample-1143,100,340,4.812,90,300,8,0.1,0.698,Sample-1143_image.tif,Sample-1143_image.jpg
Sample-1144,100,340,4.812,90,300,8,0.2,0.755,Sample-1144_image.tif,Sample-1144_image.jpg
Sample-1145,100,340,4.812,90,70,1.3,0.1,0.549,Sample-1145_image.tif,Sample-1145_image.jpg
Sample-1146,100,340,4.812,90,70,1.3,0.2,0.641,Sample-1146_image.tif,Sample-1146_image.jpg
Sample-1147,100,340,4.812,90,70,1.79,0.1,0.634,Sample-1147_image.tif,Sample-1147_image.jpg
Sample-1148,100,340,4.812,90,70,1.79,0.2,0.652,Sample-1148_image.tif,Sample-1148_image.jpg
Sample-1149,100,340,4.812,90,70,6.62,0.1,0.589,Sample-1149_image.tif,Sample-1149_image.jpg
Sample-114,100,180,2.807,90,300,1.3,0.2,0.425,Sample-114_image.tif,Sample-114_image.jpg
Sample-1150,100,340,4.812,90,70,6.62,0.2,0.521,Sample-1150_image.tif,Sample-1150_image.jpg
Sample-1151,100,340,4.812,90,70,8,0.1,0.597,Sample-1151_image.tif,Sample-1151_image.jpg
Sample-1152,100,340,4.812,90,70,8,0.2,0.695,Sample-1152_image.tif,Sample-1152_image.jpg
Sample-1153,140,180,2.807,150,103,1.3,0.1,-0.042,Sample-1153_image.tif,Sample-1153_image.jpg
Sample-1154,140,180,2.807,150,103,1.3,0.2,0.075,Sample-1154_image.tif,Sample-1154_image.jpg
Sample-1155,140,180,2.807,150,103,1.79,0.1,-0.026,Sample-1155_image.tif,Sample-1155_image.jpg
Sample-1156,140,180,2.807,150,103,1.79,0.2,0.092,Sample-1156_image.tif,Sample-1156_image.jpg
Sample-1157,140,180,2.807,150,103,6.62,0.1,0.033,Sample-1157_image.tif,Sample-1157_image.jpg
Sample-1158,140,180,2.807,150,103,6.62,0.2,0.058,Sample-1158_image.tif,Sample-1158_image.jpg
Sample-1159,140,180,2.807,150,103,8,0.1,0.018,Sample-1159_image.tif,Sample-1159_image.jpg
Sample-115,100,180,2.807,90,300,1.79,0.1,0.134,Sample-115_image.tif,Sample-115_image.jpg
Sample-1160,140,180,2.807,150,103,8,0.2,0.08,Sample-1160_image.tif,Sample-1160_image.jpg
Sample-1161,140,180,2.807,150,250,1.3,0.1,-0.023,Sample-1161_image.tif,Sample-1161_image.jpg
Sample-1162,140,180,2.807,150,250,1.3,0.2,0.108,Sample-1162_image.tif,Sample-1162_image.jpg
Sample-1163,140,180,2.807,150,250,1.79,0.1,-0.02,Sample-1163_image.tif,Sample-1163_image.jpg
Sample-1164,140,180,2.807,150,250,1.79,0.2,0.062,Sample-1164_image.tif,Sample-1164_image.jpg
Sample-1165,140,180,2.807,150,250,6.62,0.1,0.019,Sample-1165_image.tif,Sample-1165_image.jpg
Sample-1166,140,180,2.807,150,250,6.62,0.2,0.221,Sample-1166_image.tif,Sample-1166_image.jpg
Sample-1167,140,180,2.807,150,250,8,0.1,0.021,Sample-1167_image.tif,Sample-1167_image.jpg
Sample-1168,140,180,2.807,150,250,8,0.2,0.179,Sample-1168_image.tif,Sample-1168_image.jpg
Sample-1169,140,180,2.807,150,300,1.3,0.1,0.032,Sample-1169_image.tif,Sample-1169_image.jpg
Sample-116,100,180,2.807,90,300,1.79,0.2,0.389,Sample-116_image.tif,Sample-116_image.jpg
Sample-1170,140,180,2.807,150,300,1.3,0.2,0.179,Sample-1170_image.tif,Sample-1170_image.jpg
Sample-1171,140,180,2.807,150,300,1.79,0.1,-0.022,Sample-1171_image.tif,Sample-1171_image.jpg
Sample-1172,140,180,2.807,150,300,1.79,0.2,0.067,Sample-1172_image.tif,Sample-1172_image.jpg
Sample-1173,140,180,2.807,150,300,6.62,0.1,0.05,Sample-1173_image.tif,Sample-1173_image.jpg
Sample-1174,140,180,2.807,150,300,6.62,0.2,0.055,Sample-1174_image.tif,Sample-1174_image.jpg
Sample-1175,140,180,2.807,150,300,8,0.1,0.033,Sample-1175_image.tif,Sample-1175_image.jpg
Sample-1176,140,180,2.807,150,300,8,0.2,0.278,Sample-1176_image.tif,Sample-1176_image.jpg
Sample-1177,140,180,2.807,150,70,1.3,0.1,-0.044,Sample-1177_image.tif,Sample-1177_image.jpg
Sample-1178,140,180,2.807,150,70,1.3,0.2,0.081,Sample-1178_image.tif,Sample-1178_image.jpg
Sample-1179,140,180,2.807,150,70,1.79,0.1,0.039,Sample-1179_image.tif,Sample-1179_image.jpg
Sample-117,100,180,2.807,90,300,6.62,0.1,0.143,Sample-117_image.tif,Sample-117_image.jpg
Sample-1180,140,180,2.807,150,70,1.79,0.2,0.086,Sample-1180_image.tif,Sample-1180_image.jpg
Sample-1181,140,180,2.807,150,70,6.62,0.1,0.02,Sample-1181_image.tif,Sample-1181_image.jpg
Sample-1182,140,180,2.807,150,70,6.62,0.2,-0.016,Sample-1182_image.tif,Sample-1182_image.jpg
Sample-1183,140,180,2.807,150,70,8,0.1,0.024,Sample-1183_image.tif,Sample-1183_image.jpg
Sample-1184,140,180,2.807,150,70,8,0.2,0.019,Sample-1184_image.tif,Sample-1184_image.jpg
Sample-1185,140,180,2.807,180,103,1.3,0.1,-0.015,Sample-1185_image.tif,Sample-1185_image.jpg
Sample-1186,140,180,2.807,180,103,1.3,0.2,0.094,Sample-1186_image.tif,Sample-1186_image.jpg
Sample-1187,140,180,2.807,180,103,1.79,0.1,0.107,Sample-1187_image.tif,Sample-1187_image.jpg
Sample-1188,140,180,2.807,180,103,1.79,0.2,0.087,Sample-1188_image.tif,Sample-1188_image.jpg
Sample-1189,140,180,2.807,180,103,6.62,0.1,0.012,Sample-1189_image.tif,Sample-1189_image.jpg
Sample-118,100,180,2.807,90,300,6.62,0.2,0.4,Sample-118_image.tif,Sample-118_image.jpg
Sample-1190,140,180,2.807,180,103,6.62,0.2,0.058,Sample-1190_image.tif,Sample-1190_image.jpg
Sample-1191,140,180,2.807,180,103,8,0.1,-0.042,Sample-1191_image.tif,Sample-1191_image.jpg
Sample-1192,140,180,2.807,180,103,8,0.2,0.096,Sample-1192_image.tif,Sample-1192_image.jpg
Sample-1193,140,180,2.807,180,250,1.3,0.1,-0.013,Sample-1193_image.tif,Sample-1193_image.jpg
Sample-1194,140,180,2.807,180,250,1.3,0.2,0.239,Sample-1194_image.tif,Sample-1194_image.jpg
Sample-1195,140,180,2.807,180,250,1.79,0.1,-0.006,Sample-1195_image.tif,Sample-1195_image.jpg
Sample-1196,140,180,2.807,180,250,1.79,0.2,0.103,Sample-1196_image.tif,Sample-1196_image.jpg
Sample-1197,140,180,2.807,180,250,6.62,0.1,0.025,Sample-1197_image.tif,Sample-1197_image.jpg
Sample-1198,140,180,2.807,180,250,6.62,0.2,0.048,Sample-1198_image.tif,Sample-1198_image.jpg
Sample-1199,140,180,2.807,180,250,8,0.1,0.014,Sample-1199_image.tif,Sample-1199_image.jpg
Sample-119,100,180,2.807,90,300,8,0.1,0.217,Sample-119_image.tif,Sample-119_image.jpg
Sample-11,100,180,2.807,150,250,1.79,0.1,0.303,Sample-11_image.tif,Sample-11_image.jpg
Sample-1200,140,180,2.807,180,250,8,0.2,0.086,Sample-1200_image.tif,Sample-1200_image.jpg
Sample-1201,140,180,2.807,180,300,1.3,0.1,0.021,Sample-1201_image.tif,Sample-1201_image.jpg
Sample-1202,140,180,2.807,180,300,1.3,0.2,2.173,Sample-1202_image.tif,Sample-1202_image.jpg
Sample-1203,140,180,2.807,180,300,1.79,0.1,0.049,Sample-1203_image.tif,Sample-1203_image.jpg
Sample-1204,140,180,2.807,180,300,1.79,0.2,0.05,Sample-1204_image.tif,Sample-1204_image.jpg
Sample-1205,140,180,2.807,180,300,6.62,0.1,0.028,Sample-1205_image.tif,Sample-1205_image.jpg
Sample-1206,140,180,2.807,180,300,6.62,0.2,0.069,Sample-1206_image.tif,Sample-1206_image.jpg
Sample-1207,140,180,2.807,180,300,8,0.1,-0.021,Sample-1207_image.tif,Sample-1207_image.jpg
Sample-1208,140,180,2.807,180,300,8,0.2,0.177,Sample-1208_image.tif,Sample-1208_image.jpg
Sample-1209,140,180,2.807,180,70,1.3,0.1,0.016,Sample-1209_image.tif,Sample-1209_image.jpg
Sample-120,100,180,2.807,90,300,8,0.2,0.272,Sample-120_image.tif,Sample-120_image.jpg
Sample-1210,140,180,2.807,180,70,1.3,0.2,0.117,Sample-1210_image.tif,Sample-1210_image.jpg
Sample-1211,140,180,2.807,180,70,1.79,0.1,0.019,Sample-1211_image.tif,Sample-1211_image.jpg
Sample-1212,140,180,2.807,180,70,1.79,0.2,0.1,Sample-1212_image.tif,Sample-1212_image.jpg
Sample-1213,140,180,2.807,180,70,6.62,0.1,-0.009,Sample-1213_image.tif,Sample-1213_image.jpg
Sample-1214,140,180,2.807,180,70,6.62,0.2,0.108,Sample-1214_image.tif,Sample-1214_image.jpg
Sample-1215,140,180,2.807,180,70,8,0.1,0.018,Sample-1215_image.tif,Sample-1215_image.jpg
Sample-1216,140,180,2.807,180,70,8,0.2,0.104,Sample-1216_image.tif,Sample-1216_image.jpg
Sample-1217,140,180,2.807,70,103,1.3,0.1,-0.034,Sample-1217_image.tif,Sample-1217_image.jpg
Sample-1218,140,180,2.807,70,103,1.3,0.2,-0.141,Sample-1218_image.tif,Sample-1218_image.jpg
Sample-1219,140,180,2.807,70,103,1.79,0.1,-0.066,Sample-1219_image.tif,Sample-1219_image.jpg
Sample-121,100,180,2.807,90,70,1.3,0.1,0.181,Sample-121_image.tif,Sample-121_image.jpg
Sample-1220,140,180,2.807,70,103,1.79,0.2,-0.013,Sample-1220_image.tif,Sample-1220_image.jpg
Sample-1221,140,180,2.807,70,103,6.62,0.1,-0.07,Sample-1221_image.tif,Sample-1221_image.jpg
Sample-1222,140,180,2.807,70,103,6.62,0.2,0.011,Sample-1222_image.tif,Sample-1222_image.jpg
Sample-1223,140,180,2.807,70,103,8,0.1,-0.071,Sample-1223_image.tif,Sample-1223_image.jpg
Sample-1224,140,180,2.807,70,103,8,0.2,-0.067,Sample-1224_image.tif,Sample-1224_image.jpg
Sample-1225,140,180,2.807,70,250,1.3,0.1,-0.048,Sample-1225_image.tif,Sample-1225_image.jpg
Sample-1226,140,180,2.807,70,250,1.3,0.2,0.029,Sample-1226_image.tif,Sample-1226_image.jpg
