id,MoE-Inner-Warp,MoE-Inner-Weft,SM-Inner,MoE-Outer-Warp,MoE-Outer-Weft,SM-Outer,Friction Coefficient,Axial Load,Pre-strain,sample,Bunching (mm),image-front,image-s1,image-s2
36,100,340,3.128,90,103,1.79,0.2,6.60E-05,Outside jacket 0.5%,sample-1035,0.990916506,sample-1035_FrontView.jpg,sample-1035_SideView_1.jpg,sample-1035_SideView_2.jpg
37,100,340,3.128,90,250,0.484,0.14,3.00E-05,Inside jacket 1.6%,sample-1036,40.63166845,sample-1036_FrontView.jpg,sample-1036_SideView_1.jpg,sample-1036_SideView_2.jpg
38,100,340,3.128,90,250,0.484,0.14,3.00E-05,Inside jacket 0.44%,sample-1037,1.787295203,sample-1037_FrontView.jpg,sample-1037_SideView_1.jpg,sample-1037_SideView_2.jpg
39,100,340,3.128,90,250,0.484,0.14,3.00E-05,Outside jacket 0.5%,sample-1038,5.592664863,sample-1038_FrontView.jpg,sample-1038_SideView_1.jpg,sample-1038_SideView_2.jpg
40,100,340,3.128,90,250,0.484,0.14,6.60E-05,Inside jacket 1.6%,sample-1039,40.06615678,sample-1039_FrontView.jpg,sample-1039_SideView_1.jpg,sample-1039_SideView_2.jpg
41,100,340,3.128,90,250,0.484,0.14,6.60E-05,Inside jacket 0.44%,sample-1040,1.661984264,sample-1040_FrontView.jpg,sample-1040_SideView_1.jpg,sample-1040_SideView_2.jpg
42,100,340,3.128,90,250,0.484,0.14,6.60E-05,Outside jacket 0.5%,sample-1041,4.364236477,sample-1041_FrontView.jpg,sample-1041_SideView_1.jpg,sample-1041_SideView_2.jpg
43,100,340,3.128,90,250,0.484,0.2,3.00E-05,Inside jacket 1.6%,sample-1042,23.86342971,sample-1042_FrontView.jpg,sample-1042_SideView_1.jpg,sample-1042_SideView_2.jpg
44,100,340,3.128,90,250,0.484,0.2,3.00E-05,Inside jacket 0.44%,sample-1043,1.858975068,sample-1043_FrontView.jpg,sample-1043_SideView_1.jpg,sample-1043_SideView_2.jpg
45,100,340,3.128,90,250,0.484,0.2,3.00E-05,Outside jacket 0.5%,sample-1044,5.783732024,sample-1044_FrontView.jpg,sample-1044_SideView_1.jpg,sample-1044_SideView_2.jpg
46,100,340,3.128,90,250,0.484,0.2,6.60E-05,Inside jacket 1.6%,sample-1045,5.93161321,sample-1045_FrontView.jpg,sample-1045_SideView_1.jpg,sample-1045_SideView_2.jpg
47,100,340,3.128,90,250,0.484,0.2,6.60E-05,Inside jacket 0.44%,sample-1046,3.069178083,sample-1046_FrontView.jpg,sample-1046_SideView_1.jpg,sample-1046_SideView_2.jpg
48,100,340,3.128,90,250,0.484,0.2,6.60E-05,Outside jacket 0.5%,sample-1047,3.433103853,sample-1047_FrontView.jpg,sample-1047_SideView_1.jpg,sample-1047_SideView_2.jpg
49,100,340,3.128,90,250,1.79,0.14,3.00E-05,Inside jacket 1.6%,sample-1048,14.98231962,sample-1048_FrontView.jpg,sample-1048_SideView_1.jpg,sample-1048_SideView_2.jpg
